,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4761.427736282349
1,288,4685.237005233765,288,4751.394241333008
2,220,3344.2895469665527,222,3434.035430908203
3,90,1388.156213760376,91,1429.1171369552612
4,236,3623.9873790740967,288,4514.84460067749
5,234,3546.4535160064697,234,3637.2189903259277
6,86,1281.6841773986816,88,1338.6137685775757
mean,206.0,3222.5682129178726,214.14285714285714,3409.5217007228307
std,78.54389127833467,1292.8562463384353,82.71885010845658,1368.6865150659587
