,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4681.497440338135
1,288,4685.237005233765,288,4677.450030326843
2,220,3344.2895469665527,288,4320.7874755859375
3,90,1388.156213760376,288,4312.454230308533
4,236,3623.9873790740967,288,4417.4621114730835
5,234,3546.4535160064697,288,4304.508975982666
6,86,1281.6841773986816,288,4228.474254608154
mean,206.0,3222.5682129178726,288.0,4420.376359803336
std,78.54389127833467,1292.8562463384353,0.0,171.5877052395274
