,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,233,3529.069896697998
3,90,1388.156213760376,288,4365.550857543945
4,236,3623.9873790740967,288,4465.496114730835
5,234,3546.4535160064697,288,4360.974424362183
6,86,1281.6841773986816,240,3572.39356136322
mean,206.0,3222.5682129178726,273.2857142857143,4238.127358845302
std,78.54389127833467,1292.8562463384353,23.340426521468746,452.20630183334646
