,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,223,3418.7905778884888
3,90,1388.156213760376,92,1435.8918294906616
4,236,3623.9873790740967,288,4470.936638832092
5,234,3546.4535160064697,234,3602.4301195144653
6,86,1281.6841773986816,89,1345.7101373672485
mean,206.0,3222.5682129178726,214.57142857142858,3378.1665657588414
std,78.54389127833467,1292.8562463384353,82.30232967169128,1340.2527687309446
