,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4747.132260322571
1,288,4685.237005233765,288,4732.605993270874
2,220,3344.2895469665527,223,3441.2594242095947
3,90,1388.156213760376,92,1435.7586765289307
4,236,3623.9873790740967,288,4500.220281600952
5,234,3546.4535160064697,234,3604.2719373703003
6,86,1281.6841773986816,89,1346.608666419983
mean,206.0,3222.5682129178726,214.57142857142858,3401.122462817601
std,78.54389127833467,1292.8562463384353,82.30232967169128,1358.5269974091116
