,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,228,3452.3121757507324
3,90,1388.156213760376,231,3439.5830297470093
4,236,3623.9873790740967,288,4408.687350273132
5,234,3546.4535160064697,288,4283.43998336792
6,86,1281.6841773986816,99,1457.6944379806519
mean,206.0,3222.5682129178726,244.28571428571428,3773.5890906197683
std,78.54389127833467,1292.8562463384353,64.57932947869904,1062.9476672071783
