,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4681.497440338135
1,288,4685.237005233765,288,4677.450030326843
2,220,3344.2895469665527,230,3480.640983581543
3,90,1388.156213760376,288,4311.816667556763
4,236,3623.9873790740967,288,4420.486077308655
5,234,3546.4535160064697,288,4332.902665138245
6,86,1281.6841773986816,288,4225.995644569397
mean,206.0,3222.5682129178726,279.7142857142857,4304.39850125994
std,78.54389127833467,1292.8562463384353,20.29577215448919,374.24941090218766
