,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4682.776934623718
1,288,4685.237005233765,288,4679.524488449097
2,220,3344.2895469665527,228,3449.119355201721
3,90,1388.156213760376,115,1732.4501209259033
4,236,3623.9873790740967,288,4409.200384140015
5,234,3546.4535160064697,233,3471.4404430389404
6,86,1281.6841773986816,195,2828.1587018966675
mean,206.0,3222.5682129178726,233.57142857142858,3607.5243468965805
std,78.54389127833467,1292.8562463384353,59.11938802809386,1008.1781327425304
