,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,228,3452.598030090332
3,90,1388.156213760376,228,3397.992304801941
4,236,3623.9873790740967,288,4401.438079833984
5,234,3546.4535160064697,234,3526.396096229553
6,86,1281.6841773986816,99,1457.6361074447632
mean,206.0,3222.5682129178726,236.14285714285714,3658.495325088501
std,78.54389127833467,1292.8562463384353,62.120685699988336,1044.5695392200662
