,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,231,3533.5960025787354
3,90,1388.156213760376,288,4388.279585838318
4,236,3623.9873790740967,288,4489.094223976135
5,234,3546.4535160064697,288,4400.271680831909
6,86,1281.6841773986816,237,3543.3881616592407
mean,206.0,3222.5682129178726,272.57142857142856,4246.862330300467
std,78.54389127833467,1292.8562463384353,24.447361194774277,461.7913609460051
