,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,222,3407.463131904602
3,90,1388.156213760376,234,3590.4314107894897
4,236,3623.9873790740967,288,4478.011114120483
5,234,3546.4535160064697,234,3637.968098640442
6,86,1281.6841773986816,98,1475.089059829712
mean,206.0,3222.5682129178726,236.0,3708.9099246433802
std,78.54389127833467,1292.8562463384353,62.51856867020732,1042.221291788004
