,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,223,3391.336633682251
3,90,1388.156213760376,92,1418.171968460083
4,236,3623.9873790740967,288,4445.745837211609
5,234,3546.4535160064697,235,3572.3128299713135
6,86,1281.6841773986816,89,1334.8479347229004
mean,206.0,3222.5682129178726,214.71428571428572,3362.2602658952987
std,78.54389127833467,1292.8562463384353,82.33678970408981,1342.5504363952498
