,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4681.601031303406
1,288,4685.237005233765,288,4677.572420120239
2,220,3344.2895469665527,288,4321.293417930603
3,90,1388.156213760376,288,4312.903770446777
4,236,3623.9873790740967,288,4427.880840301514
5,234,3546.4535160064697,288,4329.890763282776
6,86,1281.6841773986816,288,4229.216082572937
mean,206.0,3222.5682129178726,288.0,4425.765475136893
std,78.54389127833467,1292.8562463384353,0.0,169.17397778766002
