,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,229,3475.514002799988
3,90,1388.156213760376,288,4366.790846824646
4,236,3623.9873790740967,288,4448.051321983337
5,234,3546.4535160064697,234,3600.7431964874268
6,86,1281.6841773986816,235,3504.466731071472
mean,206.0,3222.5682129178726,264.2857142857143,4109.853250912258
std,78.54389127833467,1292.8562463384353,27.43675473163839,517.408840221224
