,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4747.757335662842
1,288,4685.237005233765,288,4730.5064907073975
2,220,3344.2895469665527,231,3550.119884490967
3,90,1388.156213760376,288,4382.938672065735
4,236,3623.9873790740967,288,4519.394868850708
5,234,3546.4535160064697,288,4401.595574378967
6,86,1281.6841773986816,237,3544.212392807007
mean,206.0,3222.5682129178726,272.57142857142856,4268.075031280518
std,78.54389127833467,1292.8562463384353,24.447361194774277,474.7266479842744
