,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4684.477221488953
1,288,4685.237005233765,288,4668.818898200989
2,220,3344.2895469665527,220,3347.3076972961426
3,90,1388.156213760376,228,3396.6858377456665
4,236,3623.9873790740967,288,4398.289918899536
5,234,3546.4535160064697,234,3526.614779472351
6,86,1281.6841773986816,99,1457.4831476211548
mean,206.0,3222.5682129178726,235.0,3639.9539286749705
std,78.54389127833467,1292.8562463384353,62.33320600954656,1045.0913263250425
