,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4681.596332550049
1,288,4685.237005233765,288,4677.640748977661
2,220,3344.2895469665527,227,3442.101777076721
3,90,1388.156213760376,238,3599.7965965270996
4,236,3623.9873790740967,288,4465.064289093018
5,234,3546.4535160064697,241,3653.494213104248
6,86,1281.6841773986816,233,3460.2929878234863
mean,206.0,3222.5682129178726,257.57142857142856,3997.140992164612
std,78.54389127833467,1292.8562463384353,26.655780090721372,537.5554763884702
