,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4746.058859825134
1,288,4685.237005233765,288,4731.004915237427
2,220,3344.2895469665527,229,3521.999873161316
3,90,1388.156213760376,93,1447.9071788787842
4,236,3623.9873790740967,288,4517.818183898926
5,234,3546.4535160064697,241,3697.2878618240356
6,86,1281.6841773986816,288,4292.250417709351
mean,206.0,3222.5682129178726,245.0,3850.618184362139
std,78.54389127833467,1292.8562463384353,66.3023378170031,1077.1397326932226
