,baseline episode length,basline reward,agent episode length,agent reward
0,288,4688.1696519851685,288,4688.1696519851685
1,288,4685.237005233765,288,4685.237005233765
2,220,3344.2895469665527,231,3501.9269094467163
3,90,1388.156213760376,288,4364.94117641449
4,236,3623.9873790740967,288,4446.041741371155
5,234,3546.4535160064697,288,4329.194137573242
6,86,1281.6841773986816,240,3572.4599533081055
mean,206.0,3222.5682129178726,273.0,4226.852939333235
std,78.54389127833467,1292.8562463384353,23.83874397458294,455.79801341409217
